page,question_section_text,question_main_text,question_supplementary_text,uncertainty_flag,uncertainty_note
19,Section 2. Pay,"2.3. Can a woman work in a job deemed dangerous in the same way as a man? ⓘ The answer is “No” only where legislation explicitly uses terms such as “hazardous,” “arduous,” “morally or socially inappropriate” or their synonyms to describe a broad category of jobs that women are legally prohibited from doing.",2.3.4. Does the law allow public authorities to restrict or prohibit women from working in dangerous jobs? ⓘ e.g. the Minister.,FALSE,null
20,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.",null,FALSE,null
21,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.",2.4.1. Mining __Data:Answer__ No change/Change __Data:Legal_Basis__,FALSE,null
21,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.",2.4.2. Construction __Data:Answer__ No change/Change __Data:Legal_Basis__,FALSE,null
21,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.","2.4.3. Manufacturing __Data:Answer__ No change/Change __Data:Legal_Basis__ ⓘ e.g., factories",FALSE,null
21,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.","2.4.4. Agriculture __Data:Answer__ No change/Change __Data:Legal_Basis__ ⓘ e.g., working with certain agricultural materials or equipment",FALSE,null
21,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.","2.4.5. Transportation __Data:Answer__ No change/Change __Data:Legal_Basis__ ⓘ e.g., train drivers, truck drivers",FALSE,null
21,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.","2.4.6. Energy __Data:Answer__ No change/Change __Data:Legal_Basis__ ⓘ e.g., electrician, working on oil rigs",FALSE,null
21,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.","2.4.7. Water __Data:Answer__ No change/Change __Data:Legal_Basis__ ⓘ e.g., plumbers",FALSE,null
22,Section 2. Pay,"2.4. Can a woman work in different economic sectors in the same way as a man? ⓘ Select “Yes” if there are no restrictions on women who are not pregnant or nursing. If the law prohibits women who are not pregnant or nursing from working at night in “industrial undertakings,” select “No” for the industries affected by the restriction.",2.4.8. Does the law allow public authorities to restrict or prohibit women from working in different economic sectors? ⓘ e.g. the Minister.,FALSE,null
23,Section 2. Pay,"2.5. If the law restricts or prohibits women from doing other jobs or activities not listed above, please describe:",null,FALSE,null
24,Section 2. Pay,2.6. Please include any additional comments and links to laws relevant to this section. Please also let us know if there have been any recent or forthcoming reforms relevant for pay in __Data:Survey_Economy__:,null,FALSE,null
24,Section 2. Pay,2.7. Are there any specific challenges to the enforcement of laws or the upholding of rights in practice that you would like to highlight?,null,FALSE,null
25,Section 3. Parenthood,null,null,TRUE,Section only; main and supplementary missing
25,Section 3. Parenthood,3.1. Is there paid leave available to mothers?,null,FALSE,null
25,Section 3. Parenthood,3.1. Is there paid leave available to mothers?,3.1.1. How many days of paid maternity leave are employees legally entitled to? ⓘ “Days” refers to calendar days.,FALSE,null
26,Section 3. Parenthood,3.1. Is there paid leave available to mothers?,3.1.2. How many days of paid shared parental leave are employees legally entitled to? ⓘ “Days” refers to calendar days. Shared paid parental leave refers to leave that can be shared by the parents as they see fit. It does not include leave that each parent is individually entitled to.,FALSE,null
26,Section 3. Parenthood,3.1. Is there paid leave available to mothers?,"3.1.3. How many days of paid parental leave reserved for the mother are employees legally entitled to? ⓘ “Days\ refers to calendar days. This question refers to days of parental leave reserved specifically for mothers—through “use-it-or-lose-it” policies or mothers’ quotas; or an individual entitlement.""",FALSE,null
27,Section 3. Parenthood,3.1. Is there paid leave available to mothers?,3.1.4. What percentage of earnings is received during maternity leave?,FALSE,null
27,Section 3. Parenthood,3.1. Is there paid leave available to mothers?,3.1.5. What percentage of earnings is received during parental leave?,FALSE,null
28,Section 3. Parenthood,3.2. Who pays or administers maternity and parental leave cash benefits?,null,FALSE,null
28,Section 3. Parenthood,3.2. Who pays or administers maternity and parental leave cash benefits?,3.2.1. Who pays or administers maternity leave cash benefits?,FALSE,null
29,Section 3. Parenthood,3.2. Who pays or administers maternity and parental leave cash benefits?,"3.2.2. If the payment of maternity leave benefits is shared between the government and the employer, what is the percentage of benefits paid by the government?",FALSE,null
29,Section 3. Parenthood,3.2. Who pays or administers maternity and parental leave cash benefits?,3.2.3. Who pays or administers parental leave cash benefits?,FALSE,null
30,Section 3. Parenthood,3.3. Is there paid leave available to fathers?,null,FALSE,null
30,Section 3. Parenthood,3.3. Is there paid leave available to fathers?,3.3.1. How many days of paid paternity leave are employees legally entitled to? ⓘ “Days” refers to calendar days.,FALSE,null
31,Section 3. Parenthood,3.3. Is there paid leave available to fathers?,3.3.2. How many days of paid parental leave reserved for the father are employees legally entitled to? ⓘ “Days” refers to calendar days. This question refers to days of parental leave reserved specifically for fathers—through “use-it-or-lose-it” policies or fathers’ quotas; or an individual entitlement.,FALSE,null
31,Section 3. Parenthood,3.3. Is there paid leave available to fathers?,3.3.3. What percentage of earnings is received during paternity leave?,FALSE,null
31,Section 3. Parenthood,3.3. Is there paid leave available to fathers?,3.3.4. Who pays paternity leave cash benefits? • Employer • Government • Employer and Government • N/A,FALSE,null
32,Section 3. Parenthood,3.4. Is dismissal of pregnant workers prohibited?,null,FALSE,null
33,Section 3. Parenthood,3.5. Please include any additional comments and links to laws relevant to this section. Please also let us know if there have been any recent or forthcoming reforms relevant for parenthood in __Data:Survey_Economy__:,null,FALSE,null
33,Section 3. Parenthood,3.6. Are there any specific challenges to the enforcement of laws in practice that you would like to highlight?,null,FALSE,null
34,Section 4. Childcare,null,null,TRUE,Section only; main and supplementary missing
34,Section 4. Childcare,4.1. Availability of childcare services,null,FALSE,null
34,Section 4. Childcare,4.1. Availability of childcare services,4.1.1. Provision of childcare services,FALSE,null
34,Section 4. Childcare,4.1.1. Provision of childcare services,4.1.1.a. Does the law establish the provision of childcare services by the government? ⓘ Services offered at center-based facilities operated and funded by the government.,FALSE,null
34,Section 4. Childcare,4.1.1. Provision of childcare services,4.1.1.b. Does the law establish the provision of childcare services by the private centers? ⓘ Privately-run childcare centers can be non-profit or for-profit entities and are not operated and funded by the government.,FALSE,null
